cause,effect,weight
Morgan Bit 632,Bit 69,-2.182155243384179
Morgan Bit 950,Morgan Bit 926,1.6886726692781815
Morgan Bit 950,Morgan Bit 1741,1.4945131539278809
Morgan Bit 950,Bit 69,1.455600495719551
Morgan Bit 632,Morgan Bit 1741,-1.3947955210189593
Morgan Bit 950,Morgan Bit 997,1.3045439288829337
Morgan Bit 632,Morgan Bit 997,-1.2134566593909248
Morgan Bit 222,Morgan Bit 1323,1.2080300574392409
Morgan Bit 950,Morgan Bit 1430,-1.1722090573247057
Morgan Bit 632,Morgan Bit 1430,1.0691897414973528
Morgan Bit 645,Morgan Bit 1649,-1.0281745265969473
Morgan Bit 500,Morgan Bit 1649,1.0134863190741334
Morgan Bit 1380,Morgan Bit 1750,1.0129940481808857
Morgan Bit 926,Bit 96,-1.0093818602342284
Morgan Bit 656,Bit 96,1.007045811635206
Morgan Bit 645,Morgan Bit 1633,-1.0
Morgan Bit 645,Morgan Bit 67,-0.9999999999999998
Morgan Bit 36,Morgan Bit 1323,-0.9999999999999993
Morgan Bit 45,Morgan Bit 1741,0.9966777408637867
Bit 163,Bit 162,0.9928049918822844
Morgan Bit 645,Morgan Bit 500,0.9909909909909907
Morgan Bit 500,Morgan Bit 1633,0.9909090909090909
Morgan Bit 500,Morgan Bit 67,0.9909090909090905
Morgan Bit 926,Morgan Bit 656,0.987923515598792
Morgan Bit 1380,Morgan Bit 1873,0.981091917296571
Morgan Bit 1741,Bit 69,-0.9810618530397939
Morgan Bit 950,Morgan Bit 1683,0.9797979797979802
Morgan Bit 632,Morgan Bit 1683,-0.9301769243064086
Morgan Bit 632,Morgan Bit 1405,0.9214836820231705
Morgan Bit 632,Morgan Bit 950,0.9214836820231704
Morgan Bit 378,Bit 121,-0.9140639334041976
Morgan Bit 1797,Morgan Bit 632,0.9086348463220072
Morgan Bit 45,Bit 121,0.9018473731523808
Morgan Bit 1430,Morgan Bit 1838,0.9001429318703998
Morgan Bit 532,Morgan Bit 1797,0.8903148602930964
Morgan Bit 378,Bit 31,0.880765278458271
Morgan Bit 1405,Bit 69,0.8748599794910106
Morgan Bit 222,Morgan Bit 997,-0.8699889274841107
Morgan Bit 414,Bit 141,0.8655785731708195
Morgan Bit 222,Morgan Bit 532,0.8532583711863395
Morgan Bit 950,Morgan Bit 656,-0.8342361104000156
Morgan Bit 500,Morgan Bit 1260,-0.8201995322647248
Morgan Bit 1293,Morgan Bit 1646,0.8128103472893663
Morgan Bit 439,Morgan Bit 45,0.8128103472893656
Morgan Bit 36,Morgan Bit 222,0.8127431728804994
Morgan Bit 67,Morgan Bit 1260,0.8126050921511632
Morgan Bit 645,Morgan Bit 1260,0.8126050921511625
Morgan Bit 1357,Bit 101,0.8121079065722827
Morgan Bit 645,Morgan Bit 1601,0.8054211623140084
Morgan Bit 950,Bit 65,0.8027210884353737
Morgan Bit 976,Bit 108,-0.7909405302249747
Morgan Bit 1453,Morgan Bit 1928,0.7895293869900577
Morgan Bit 632,Morgan Bit 926,-0.7894941233940806
Morgan Bit 222,Bit 31,-0.7817359599705718
Morgan Bit 1444,Morgan Bit 591,0.7795119555779044
Morgan Bit 1723,Morgan Bit 1649,0.7788756192876377
Morgan Bit 632,Morgan Bit 656,0.777576231561564
Morgan Bit 632,Bit 65,-0.7692716837558341
Morgan Bit 1741,Morgan Bit 1430,0.7665566209420169
Morgan Bit 1838,Bit 69,0.7662187815578951
Bit 96,Bit 108,0.7637675980006098
Morgan Bit 1226,Morgan Bit 715,0.7603936881833233
Bit 65,Morgan Bit 1866,0.7577609523555319
Morgan Bit 500,Bit 121,-0.7253947134786637
Bit 31,Bit 96,0.721752294720674
Morgan Bit 1043,Morgan Bit 1649,0.7198639327210757
Morgan Bit 645,Bit 121,0.7191454736036538
Morgan Bit 36,Morgan Bit 532,-0.7135645113979572
Morgan Bit 500,Morgan Bit 378,-0.7135645113979566
Morgan Bit 500,Bit 98,-0.7135645113979566
Morgan Bit 1323,Morgan Bit 997,0.7135645113979566
Morgan Bit 36,Morgan Bit 997,0.7135645113979564
Morgan Bit 378,Bit 141,0.7133164307699978
Morgan Bit 1043,Morgan Bit 500,-0.7102848052045779
Morgan Bit 473,Morgan Bit 1323,-0.7102848052045767
Morgan Bit 1633,Morgan Bit 378,0.7069574325887164
Morgan Bit 1633,Bit 98,0.7069574325887164
Morgan Bit 645,Morgan Bit 378,0.7069574325887161
Morgan Bit 645,Bit 98,0.7069574325887161
Bit 98,Bit 108,0.7061574695192397
Bit 141,Bit 121,0.704208195292824
Morgan Bit 565,Morgan Bit 36,0.7039429765866796
Morgan Bit 976,Morgan Bit 1952,0.7039429765866796
Morgan Bit 1043,Morgan Bit 645,0.7039429765866794
